customer_id,for_month,mrr,last_yr,last_mrr,mobile_experiments_started,experiments_started,allocation,utilization,tickets_created,impressions,impression_revenue,knowledge_base_views,logins,sig_exp_90,brand_ops,running_experiment_days,vertical,segment,country,region,number_of_employees,traffic,annual_revenue,account_potential_score,ae,csm,partner_flag,first_month,last_month,final_row,churn?,days_overdue,collaborators_added,billing_period,age,contract_start_date,retention,churn_dollars,
3544700471,12/1/2016,2750,12/1/2015,1862,0,0,0,0,0,0,0,0,0,yes,,0,Media,Enterprise,Germany,EMEA,"14,423","27,000,000","4,528,927,633",5,1,1,no,9/30/2015,12/31/2016,TRUE,Active,117,15,,370,9/25/2016,1,0,
3730322312,12/1/2016,2869,12/1/2015,3502,0,0,0,0,0,0,0,0,546,yes,,0,Financial Services,Enterprise,United Kingdom,EMEA,"2,000",822,"1,980,000",1,1,1,no,11/30/2015,12/31/2016,TRUE,Active,0,13,,336,11/9/2016,1,-633,
4231830376,12/1/2016,2653,,,0,0,0,0,0,0,0,0,40,no,,0,Media,Corporate,Germany,EMEA,30,"57,729",,2,1,1,no,1/31/2016,12/31/2016,TRUE,Active,0,4,,28,1/1/2016,,,
4240511539,12/1/2016,12490,,,0,0,0,0,0,0,0,0,48,yes,,0,Media,Enterprise,Germany,EMEA,"2,000","50,000,000","5,000,000,000",5,1,1,no,1/31/2016,12/31/2016,TRUE,Active,0,35,,197,1/1/2017,,,
4370697150,12/1/2016,3646,,,0,0,0,0,0,0,0,0,0,,,0,Travel & Entertainment,Corporate,Germany,EMEA,350,"1,200,000","73,261,436",2,1,1,yes,1/31/2016,12/31/2016,TRUE,Active,0,4,,119,1/15/2016,,,
4464600234,12/1/2016,2152,,,0,0,0,0,0,0,0,0,165,yes,,0,Financial Services,Enterprise,Spain,EMEA,"2,000",822,"1,980,000",1,1,1,yes,1/31/2016,12/31/2016,TRUE,Active,0,7,,336,1/1/2017,,,
5694760979,12/1/2016,3627,,,0,0,0,0,0,0,0,0,12,yes,,0,Media,Enterprise,Germany,EMEA,55,"5,000,000",0,3,1,1,no,5/31/2016,12/31/2016,TRUE,Active,,9,Annual,64,5/2/2016,,,
5789151317,12/1/2016,4763,,,0,0,0,0,0,0,0,0,420,yes,,0,Media,Enterprise,Germany,EMEA,100,"1,800,000","1,195,000.10",3,1,1,yes,5/31/2016,12/31/2016,TRUE,Active,,8,Annual,50,6/14/2016,,,
5990440266,12/1/2016,3559,,,0,0,0,0,0,0,0,0,0,yes,,0,Telecommunications,Enterprise,Germany,EMEA,"1,500","1,260,126","18,962,688,000",5,1,1,no,5/31/2016,12/31/2016,TRUE,Active,,10,Annual,16,5/23/2016,,,
6678270449,12/1/2016,3246,,,0,0,0,0,0,0,0,0,0,,,0,Media,Corporate,,,"2,000","50,000,000","500,000,000",5,1,1,no,8/31/2016,12/31/2016,TRUE,Active,,2,Annual,1,8/1/2016,,,
1370016,9/1/2015,2333,,,0,0,50000,0,0,0,0,0,0,,,0,Retail,Corporate,United States,North America,60,"910,000",0,3,1,1,no,8/31/2015,9/30/2015,TRUE,Churned,,1,,,8/1/2015,,,
