customer_id,for_month,mrr,last_yr,last_mrr,sig_exp_90,partner_flag,logins,running_experiment_days,utilization,churn_dollars,churned
A1684,12/1/2016,3000,12/1/2015,2000,0,0,0,0,0,0,1
A1685,12/1/2016,1000,,0,0,0,0,0,0,,1
A1686,12/1/2016,2300,12/1/2015,2300,1,0,36,0,0,0,1
A1687,8/1/2016,3200,,0,0,0,0,33,35352,,0
A1688,8/1/2016,2424,,0,0,0,0,0,0,,0
A1689,12/1/2016,4699,12/1/2015,4645,1,1,192,0,0,0,1
A1690,12/1/2016,2000,,0,1,0,1254,0,0,,1
A1691,12/1/2016,4900,12/1/2015,3040,1,1,162,0,0,0,1
A1692,11/1/2016,3040,11/1/2015,3025,0,0,0,2,2,0,1
A1693,8/1/2016,2000,,0,0,0,0,15,7,,0
A1694,12/1/2016,1000,,0,0,0,0,0,0,,1
A1695,12/1/2016,2200,12/1/2015,2800,1,1,120,0,0,-600,1
A1696,12/1/2016,1575,12/1/2015,1575,1,1,360,0,0,0,1
A1697,1/1/2016,1866,,0,1,0,0,168,65141,,0
A1698,12/1/2016,6272,12/1/2015,6319,0,0,0,0,0,-47,1
A1699,7/1/2016,1000,,0,0,1,0,0,0,,0
A1700,12/1/2016,2275,,0,1,1,120,0,0,,1
A1701,12/1/2016,2500,12/1/2015,2500,1,0,11,0,0,0,1
A1702,8/1/2016,3750,,0,0,1,0,0,0,,0
A1703,12/1/2016,750,12/1/2015,2800,1,1,161,0,0,-2050,1
A1704,12/1/2016,4598,12/1/2015,2892,0,0,70,0,0,0,1
A1705,8/1/2016,2100,,0,0,0,0,9,3,,0
A1706,9/1/2016,3000,,0,0,1,24,4,3,,0
A1707,12/1/2016,3586,12/1/2015,2965,1,0,380,0,0,0,1
A1708,9/1/2016,4500,9/1/2015,4500,0,1,36,0,0,0,0
A1709,12/1/2016,1165,12/1/2015,1236,0,0,60,0,0,-71,1
A1710,11/1/2016,10000,,0,1,0,390,969,1672983,,1
A1711,12/1/2016,2000,12/1/2015,2000,1,0,24,0,0,0,1
A1712,12/1/2016,13957,12/1/2015,1045,0,0,0,0,0,0,1
A1713,12/1/2016,1981,,0,1,0,48,0,0,,1
A1714,12/1/2016,2309,12/1/2015,1648,1,0,312,0,0,0,1
A1715,9/1/2016,3065,,0,1,0,84,281,916164,,0
A1716,12/1/2016,2232,12/1/2015,2818,1,1,624,0,0,-586,1
A1717,12/1/2016,1105,12/1/2015,1346,1,0,96,0,0,-241,1
A1718,12/1/2016,3366,12/1/2015,4130,1,1,66,0,0,-764,1
A1719,12/1/2016,3125,,0,1,1,72,0,0,,1
A1720,9/1/2016,2047,,0,0,1,0,49,197,,0
A1721,12/1/2016,2250,12/1/2015,2250,0,1,11,0,0,0,1
A1722,10/1/2016,3000,,0,0,0,8,3,3,,0
A1723,12/1/2016,2000,12/1/2015,2000,0,0,0,0,0,0,1
A1724,12/1/2016,16402,,0,1,0,912,0,0,,1
A1725,8/1/2016,1000,,0,0,0,0,0,0,,0
A1726,9/1/2016,4675,9/1/2015,4675,0,0,0,2,2,0,0
A1727,8/1/2016,3000,,0,0,1,0,0,0,,0
A1728,12/1/2016,1575,12/1/2015,1575,0,1,0,0,0,0,1
