user_id,referrer_type,days_since_purch
1968786,obsessions,83
8914906,obsessions,91
1767148,obsessions,8
8224138,obsessions,61
1170408,search,7
3660976,obsessions,91
3916190,obsessions,28
4986428,obsessions,91
6146444,flash_sale,4
5358040,saved_search,41
7725790,obsessions,1
8605088,Misc,12
6433202,feeds,59
9028530,search,83
2186260,carousel,26
2389066,search,2
1148668,flash_sale,22
2078632,saved_search,46
213862,obsessions,20
7675600,flash_sale,66
7581382,obsessions,52
1651274,browse_search,86
8913320,search,47
9031706,flash_sale,83
8849914,obsessions,75
1276858,search,99
1731326,Misc,101
6611936,search,96
2832824,flash_sale,35
7489646,flash_sale,86
1910768,obsessions,43
6245686,flash_sale,2
4973612,search,1
1322190,saved_search,42
7245516,search,57
7384434,Misc,49
3907696,flash_sale,57
9078334,browse_search,74
2044396,ymal,86
9266864,browse_search,34
9114834,Misc,56
7794204,deeplink,65
8376180,search,30
8986016,saved_search,39
9106886,obsessions,63
8714180,obsessions,76
825516,obsessions,68
2782984,flash_sale,47
6307408,obsessions,83
9326162,obsessions,23
8805086,Misc,73
2730008,saved_search,32
8182522,obsessions,44
8784610,obsessions,58
1577580,obsessions,84
8283604,obsessions,86
9223302,saved_search,42
7224920,search,82
3986162,obsessions,1
4897348,search,1
7505674,shop_browse_categories,23
2605124,obsessions,101
5389382,search,101
7837584,search,73
2590798,search,38
2744162,search,28
6477324,Misc,88
7002508,ymal,12
9232450,search,43
9149462,obsessions,57
8626214,obsessions,84
4402496,search,16
9173538,obsessions,20
3088296,obsessions,78
8480484,obsessions,87
9312964,obsessions,26
9232278,flash_sale,29
2881292,flash_sale,82
9180886,flash_sale,13
7693440,obsessions,67
9284428,saved_search,27
8157844,feeds,67
9079442,obsessions,54
4628258,flash_sale,15
8298308,saved_search,9
3621652,saved_search,73
7421312,search,69
8292314,obsessions,101
7913384,flash_sale,19
9292536,saved_search,29
3932318,saved_search,77
2994016,search,46
2402758,carousel,52
1720530,saved_search,23
491178,flash_sale,85
9149374,obsessions,57
6341354,Misc,76
6052028,flash_sale,100
6351590,browse_search,55
331540,obsessions,95
579256,flash_sale,85
2408428,search,50
5981398,ymal,22
