user,browse_search,carousel,deeplink,feeds,flash_sale,Misc,obsessions,saved_search,search,shop_browse_categories,shop_browse_designers,shop_browse_new_arrivals,shop_browse_sale,ymal
1812866,5,,,,12,,,,,,,,,
1813388,,,,,81,,,,,,,,,
1814458,,,,,,,7,,,,,,,
1815288,,,,,,,25,,,,,,,
1816938,,,,11,,,2,,99,,,,,
1817022,,,,,,,,,,,,,,49
1817288,,,,,16,,,,,,,,,
1817894,,,,,57,,,6,,,,,,
1817938,,,,,13,,,,,,,,,
1820204,,,,,,68,29,,,,,,,
1820336,,,,,53,,46,,,,,,,
1820644,,,,,,,,,14,,,,,
1820890,,,,,,,52,68,62,,,,,
1821030,13,,,,,,,12,,,,,,12
1822054,,,,,,9,9,,,,,,,
1822836,,,,,,,29,,,,,,,
1822874,,,,,,,37,,,,,,,
1823466,,,,,,,50,,50,,,,,
1823490,,,,,,19,19,,,,,,,
1823674,,,,,7,,5,69,1,,,,,
1823712,,,,,69,,,,9,,,,,
1825826,,,,,34,,,,,,,,,96
1826686,,,,,63,39,12,63,81,,,,,
1827980,,,,81,,,,,,,,,,
1828196,,,,,,,79,,71,,,,,
1828378,,,,,,,22,,,,,,,
1828418,,,,,,,24,,,,,,,
1828980,,,,,,,,52,,,,,,
1831168,,,,,,,,,79,,,,,
1832168,,,,,,,31,,,,,,,
1832280,,,,,,,57,,,,,,,
1832310,,,,,,,56,,,,,,,
1833248,,,,,,,,,55,,,,,
1834308,85,,,,,,,,31,,,,,
1835132,,,,,,53,1,,,,,,,
1836152,,,,,,,,,52,,,,,
1836540,,,,,40,,,,40,,,,,
1836952,,,,,,,25,,,,,,,
1837076,,,,,76,,,47,45,,,,,
1838442,,,,,,,73,,,,,,,
1838890,,,,,,,,,89,,,,,
1839908,,,,,100,93,1,61,1,,,,,
1839976,,,,,,,35,,,,,,,
1840894,,,,,39,,,,,,,,,
1845412,,,,,43,,35,,,,,,,
1845736,,,,,,,64,86,16,,,,,
1846030,,,,,,,,26,,,,,,
1846280,,,,,,,6,65,,,,,,
1847546,,,,,,,,2,74,,,,,74
1847598,,,,,41,,25,,,,,,,
1848258,,,,,,,,27,,,,,,
1849364,,,,,28,,,,,,,,,28
1850564,,,,,79,,,,,,,,,
1850936,,,,,101,,66,,,,,,,
1851888,,,,97,,,13,,,,,,,
1854154,,,,,,,,51,50,,,,,
1854636,,,,,24,,,,,,,,,
1854922,,,,,93,,,15,,,,,,
1857068,,,,,,,9,,,,,,,
1858454,,,,,,,38,,,,,,,
1859114,,,,,,,,,54,,,,,
1859766,,,,,,20,36,,,,,,,
1860988,,,,,,,5,64,,,,3,,
1861392,,,,,92,,,,2,,,,,
1861614,,,,,,,,,2,,,,,
1862634,51,,51,,,,,,12,,,,,
1863038,7,,,,,,,,,,,,,
1863424,49,,,,,,49,,,,,,,
1864046,,,,,,,,59,,,,,,
1866008,,,,,,,42,,,,,,,
1870308,,,,,27,,,,79,,,,,
1870608,,,,,,,101,,,,,,,
1872428,,,,,62,,46,,,,,,,
1872874,,,,,86,,43,,58,,,,,
1873412,,,,,,,,,19,,,,,
1874054,,,,,76,,,,,,,,,
1874100,,,,,,,15,,,,,,,
1874312,,,,100,,,74,,,,,,,
1874774,,,,,92,,,,,,,,,
1875794,,,,,,,27,,,,,,,
1876188,,,,,,,,17,25,,,,,
1876358,,,,,,,6,,,,,,,
1876532,,,,,,,,,98,,,,,
1877434,,,,,24,,,36,36,,,,,
1878056,,,,,,,35,24,,,,,,
1879424,,,,,,,,9,9,,,,,
1880282,101,,,,75,41,4,5,4,,,,,
1880584,,,,,,,,,67,,,,,
1881494,,,,,46,,,,,,,,,
1882226,,,,,,,80,,,,,,,
1882556,,,,,75,,,,,,,,,
1882914,,,,,23,,24,29,15,,,,,59
1883922,,,,,,,11,,11,,,,,
1884226,,,,,,,20,,,,,,,
1886510,,,,,86,13,11,,11,,,,,
1887068,,,,,10,,70,,,,,,,
1887084,,,,,,20,,,9,,,,,
1887470,,,,,,6,6,,6,,,,,
1888588,,,,,,,,,6,,,,,
1893788,,,,,,,,,,3,,,,
1893852,,,,,13,,,,10,,,,,
1894354,,,,,,,,,79,,,,,
1895330,,,,,36,,,,33,,,,,
1896940,,,,,55,,11,,,,,,,
1897654,,,,64,,64,84,74,66,,,,,
1897874,,,,,,,10,12,,,,,,
1901532,,,,,37,17,26,,,,,,,
1902156,,,,,,,76,,,,,,,
1902552,,,,,,,88,,,,,,,
1902744,,,,,,,,,2,,,,,
1903360,,,,,,,72,,,,,,,
1903576,,,,,46,,,,,,,,,46
1903870,,,,,,,51,,,,,,,
1903966,,,,,,,37,,,,,,,
1904284,,,,,,,,82,,,,,,
1905994,,,,,,,19,,19,,19,,,
1906148,,,,,,13,13,,13,,,,,
1906682,,,,,,,26,78,,,,,,
1908382,,,,,18,,3,,25,,,,,
1909274,84,,,,,,,,12,,,,,
1910110,,,,,30,,,,,,,,,
1910360,,,,,,,,,30,,,,,
1910768,,,,,,87,43,,,,,,,
1912116,,,,,,,29,,,,,,,
1912796,,,,,,,,5,,,,,,
1914982,9,,9,,,,9,,,,,,,
1916092,,,,,,,,,86,,,,,
1917036,,,,,,,,29,,,,,,
1917134,,,,,,,,24,91,,,,,
1917588,,,,,71,,,,,,,,,
1918150,,,,,,,,,71,,,,,
1918322,,,,,,,42,,,,,,,63
1918750,,,,,,,29,,,,,,,
1919480,,,,,,76,43,,76,,,,,
1919820,,,,,,,,,4,,,,,
1922646,,,,,,,,,15,,,,,
1923586,,,,,,,30,,30,,,,,
1926368,,,,,,,,,62,,,,,
1926782,,42,,,,,,,,,,,,
1926932,,,,,,,83,,,,,,,
1928198,,,,,,31,31,,,,,,,
1931170,,,,,,,43,,,,,,,
1931222,,,,,,,,18,18,,,,,
1932974,,14,,,13,,,18,19,,,,,
1934754,,,,,,,58,,,,,,,
1936844,,,,,35,,,,,,,,,
1937222,,,,,23,,23,,,,,,,
1938374,,,,,,,,,24,,,,,
1938742,,,,,,,,71,,,,,,
1939056,,,,,,36,36,,,,,,,
1939490,,,,,26,,69,,26,,,,,
1939578,,,,,,,,39,,,,,,
1941322,,,,,,,,40,,,,,,
1943476,,,,,,40,40,,,,,,,
1944162,29,,,,,,,,,,,,,
1945842,,,,,,,13,,,,,,,
1946014,,,,,,,10,,,,,,,
1946506,,,,,,,42,,50,,,,,
1948716,,,,,,,,,101,,,,,
1950092,,,,46,,37,37,,39,,,,,
1952308,,,,,,,31,,,,,,,
1952602,,,,,,22,22,,,,,,,
1953294,,,,,,,77,,,,,,,
1954358,,,,,,,57,40,,,,,,
1954588,,,,,,,76,,,,,,,
1954746,,,,,92,,,,35,,,,,
1955876,,,,,,,66,,65,,,,,
1957056,,,,,76,,,17,41,,,,,
1958756,99,,,,,,,,101,,,,,
1960356,,,,,,,,6,,,,,,
1960448,,,,,,,,,83,,,,,
1960916,,,,,,,,,35,,,,,
1962186,,,,,,,,,8,,,,,
1963536,,,,,,,,,5,,,,,16
1963732,,,,,80,,,,94,,,,,
1964020,,,,,,,1,,,,,,,
1964872,,,,15,,36,9,,,,,,,
1966852,,,,,,10,10,,,,,,,
1968412,,,,,,,,,36,,,,,
1968786,,,,,71,,4,,39,,,,,
1969238,,,,,,,64,,,,,,,
1970470,,,,,,,,,86,,,,,
1970854,,,,,13,,26,,,,,,,
1971354,,,,,,,16,,,,,,,
1971842,,,,,,,41,,,,,,,
1973500,,,,,1,,,8,,,,,,
1974194,,,,,4,,,4,,,,,,
1974704,,,,,35,45,8,,58,,,,,
1974864,,,,,,,70,,,,,,,
1976164,,,,,,,,,85,,,,,
1976682,,,,,58,,,,,,,,,58
1978010,,,,,29,35,,,5,,,,,
1978504,17,,,,,,,17,17,,,,,
1979438,,,,,,,100,,,,,,,
1979736,,,,,,,82,,,,,,,
1979780,,,,51,,,4,,,,,,,
1981354,,,,31,,,4,,,,,,,
1981714,,,,,,,,,19,,,,,
1981720,,,,,,,52,,,,,,,
1982242,,,,,,,37,,,,,,,
1982410,,,,,,21,67,24,24,,,,,
1982786,,,,,76,,,,,,,,,
1983936,,,,,65,,,,,,,,,
1985682,,,,,,,95,,,,,,,
1986642,,,,,,29,29,25,99,,,,,
1987108,,,,,,,,,37,,,,,
1987540,42,,,,,,,,,,,,,
1988140,,,,,60,10,4,,,,,,,
1989454,,,,,,,,,74,,,,,
1989462,,,,,,,,,22,,,,,
1989602,,,,,,,47,,40,,,,,
1991630,,,,,82,,,,,,,,,
1991716,,,,,,,39,,,,,,,
1992014,16,,,,12,,12,,19,,,,,
1992918,,,,,,76,,,,,,,,
1993888,,,,,,,64,,,,,,,
1993952,,,,14,,,,,,,,,,
1994282,,,,,38,,,,,,,,,
1994890,,43,,,,,,,,,,,,
1995518,,,,,,,,,42,,,,,
1998228,,,,,21,,,,,,,,,
1998744,,,,,9,,,,,,,,,
1998946,,,,,,,,,5,,,,,
1999200,57,,,,,,,,57,,,,,
2000234,,,,,,,64,,,,,,,
2000936,,,,,80,,,,80,,,,,
2001018,,,,,,,52,,91,,,,,
2001326,,,,,,,41,,,,,,,
2001788,,,,,76,,,,,,,,,
2001894,,,,,,,13,,,,,,,
2002636,,,,,,,,,45,,,,,
2002994,,,,,79,,,,79,,,,,
2003594,,,,,35,,,,,,,,,
2004374,,,,,,,,,54,,,,,97
2005380,,,,,93,,,,,,,,,93
2005638,24,,,,37,,58,,,,,,,
2005844,,,,,,,29,,,,,,,
2006068,,,,,,,39,,,,,,,
2006294,,,,,,41,17,,,,,,,
2006620,,,,,,,38,,,,,,,
2008504,68,,,,,,2,,,,,,,
2008858,,,,,,32,14,,59,,,,,
2008882,,,,,,,64,,,,,,,
2009332,,,,,,43,,,,,,,,
2009812,,,,,,,,,98,,,,,
2010176,,,,,,,2,,,,,,,
2010474,,,,,,,78,,,,,,,
2010926,,,,,,,,,60,,,,,
2012504,,,,,2,43,43,,2,,,,,
2013284,,,,,,83,83,,94,,,,,
2014390,,,,,33,,78,,,,,,,
2014536,,,,,,,5,,,,,,,
2015028,,,,,,,,,23,,,,,
2015832,,,,,,,,,18,,,,16,
2018024,,,,,27,,19,,34,,,,,
2019352,69,,,,,,,,,,,,,
2019608,,25,,,50,,,,77,,,,,
2019922,,,,,,,,,24,,,,,
2020076,,,,,,,,,40,,,,,
2021324,,,,,23,,9,,,,,,,79
2021740,,,,,,,,25,,,,,,
2022124,,,,,,,,,46,,,,,
2022278,,,,,4,,4,,,,,,,
2022302,,,,,,,,25,,,,,,
2023076,,,,,,,,31,,,,,,
2023542,,,,17,,,,,,,,,,
2024762,,,,,,,76,,75,,,,,
2025334,,,,,,,,,2,,,,,
2025848,,,,,,,27,,6,,,,,
2026880,,,,,,,13,29,,,,,,
2028346,,21,,,21,,,44,,,,,,
2028570,32,,33,,7,9,3,,11,,,,,22
2029060,,,,,,,51,,78,,,,,
2029234,,,,,,,2,,,,,,,
2029750,,,,,,,54,,,,,,,
2030096,,,,,,,2,,,,,,,
2030106,,,,,,,58,,,,,,,
2030836,,,,,98,,,,,,,,,
2031428,,,,,,,54,,13,,,,,
2031440,,,,,,,,,,,,,,13
2031820,,,,,46,,,,,,,,,
2032182,,,,,78,,58,,,,,,,
2033372,,,,,,,,,4,,,,,
2033848,,,,,,,76,,,,,,,
2033872,,,,,22,,32,,,,,,,
2033882,,,,,,,76,,,,,,,92
2033934,,,,,86,,50,,,,,,,
2033946,,,,,,52,,,,,,,,
2033970,,,,,,,37,,,,,,,
2034010,,,,,,47,31,,99,,,,,
2034504,,,,,,,,14,90,,,,,
2034542,,,,,18,,,,6,,,,,
2034560,,,,,,,4,,4,,,,,
2035258,,,,,22,,,,,,,,15,15
2035614,34,,,,,,,21,21,,,,,45
2035762,,,,,77,,,,,,,,,
2036176,,,,,,,49,62,,,,,,
2036348,,,,,63,,61,,61,,,,,
2036672,,,,,19,,,,,,,,,
2037296,29,,,,38,,,,,,,,,
2038820,,,,,,,,,4,,,,,
2038910,,,,,50,,,,,,,,,
2041142,,,,,,,,,30,,,,,
2041194,,,,,,,,,23,,,,,
2041314,,,,,30,,8,,,,,,,74
2041736,,,,,,,,,,,,,21,
2044396,,,,,,,86,,,,,,,86
2044944,,,,,,,,,91,,,,,
2045912,,,,,,,15,,,,,,,
2045988,,,,,,,16,34,4,,,,,43
2049122,,,,,,,79,,,,,,,
2049928,,,,,,,,,65,,,,,
2052388,,,,,,,1,,,,,,,
2052828,,,,,,,98,,,,,,,
2052864,,,,,,,13,,,,,,,
2052972,,,,,88,,,41,,,,,,50
2054540,,,,,96,,,,96,,,,,
2055122,,,,,,,10,,,,,,,
2055498,,,,,18,,,,,,,,,
2055534,,,,,,,18,,,,,,,
2056200,,,,,,,6,,,,,,,
2056466,,,,,,,4,,,,,,,
2057798,60,,,,,,,,,,,,,
2058238,,,,,100,,21,,,,,,,
2058396,,,4,,,,,21,10,,,,,32
2058510,,,,,85,,69,,,,,,,
2059122,47,,,,,,6,,,,,,,
2060048,,,,38,30,38,30,,,,,,,
2060158,,,,,,,19,,,,,,,
2061046,,,,,,,86,,86,,,,,
2062392,2,,,,,,2,,,,,,,
2063002,,,49,,,,49,,,,,,,
2063764,,,,,36,,,,,,,,,
2064932,,,,21,21,37,,23,21,,,,,
2065048,89,,,,41,,,,,,,,,
2065686,,,,,20,,,,,,,,,24
2069092,,,,,,,,2,38,,,,,
2070940,,,,,,,,,50,,,,,
2071832,,,,,,,23,,85,,,,,
2074948,,,,,,,92,,,,,,,
2075534,,,,,,,69,,101,,,,,
2075926,,,,,,,,,91,,,,,
2076750,,,,,77,,,41,77,,,,,
2078632,,,,,,,,46,1,,,,,
2079602,,,,,,,4,,23,,,,,
2085932,,,,,45,,,,,,,,,
2088452,,,,,,,80,27,80,,,,,
2089254,,,,,,,,3,,,,,,
2093150,,,,,,,15,,,,,,,
2094660,,,,,,,26,,,,,,,
2094694,,,,,,,,10,10,,,,,
2095812,,,,,21,,,,4,,,,,
2097060,,,,,,,,29,,,,,,
2098042,,,,,,,91,,,,,,,
2098094,,,,,,,30,,57,,,,,
2098624,,,,,20,,,44,25,,,,,
2100854,30,,,,,,,,,,,,,
2101392,,,,,,,1,,14,,,,,
2101700,,,,,,,,39,,,,,,
2101724,,,,,,,13,,8,,,,,
2102098,,,,,,,,,47,,,,,
2102738,,,,,24,,,35,9,,,,,
2102858,,,,,91,,,,,,,,,
2103044,,,,,,,64,,,,,,,
2104440,,,,,,,,,65,,,,,
2105302,,,,,,,,12,14,,,,,
2106614,,,,,,,,44,34,,,,,
2106702,,,,,51,9,9,,89,,,,,
2106754,,,,,,,,,80,,,,,
2107322,74,,,53,13,,13,,,,,,,
2107598,,,,,,,,,67,,,,,
2110032,,,,,,,,20,69,,,,,
2110124,,,,,40,,,,,,,,,
2111284,,,,,,,43,47,,,,,,
2112080,,,,,34,,,,37,,,,,
2112964,,,,,47,,,60,21,,,,,
2112990,,,,,31,,56,,,,,,,
2115300,74,,,,,,,,,,,,,
2115954,,,,,,,,,35,,,,,
2118396,,,,,,101,35,,,,,,,101
2118404,71,,,71,,,,,,,,,,
2119230,,,,,,,88,,65,,,,,
2123750,,,,,,,29,,,,,,,
2124688,,,,,,,,,79,,,,,
2126804,,,,,,,72,,,,,,,
2127982,,,,,9,,,,,,,,,
2130770,,,,,,,,,72,,,,,
2132454,,,,,,,22,,22,,,,,
2133334,14,,,,45,,,,58,,,,,
2133794,,,,,39,,,,,,,,,
2133916,,,,,73,,,,,,,,,
2137148,,,,,74,74,73,74,,,,,,
2139542,51,,,,,,,,,,,,,
2139692,,,,,,,65,,65,,,,,
2142420,,,,,,,,,75,,,,,
2145568,,,,,,,,23,,,,,,
2145584,,,,,,,,,,16,,,,
2146422,,,,,,,,54,,,,,,
2147202,,,,,,,,,98,,,,,
2150268,,,,,,,,44,,,,,,
2154218,,,,,,70,50,6,6,,,,,
2155392,,,,,97,,,,8,,,,,
2155824,,,,,,,14,,,,,,,
2158572,,,,,,,1,,,,,,,
2159128,,,,,,,54,,,,,,,
2160630,,,,,,,40,,,,,,,42
2160788,,,,,101,,,,53,,,,,
2161618,,,,,,,50,,22,,,,,
2162916,,,,,29,29,29,,,,,,,
2167552,,,,,66,,,,,,,,,
2170088,,,,,92,,92,,,,,,,
2172102,,,,,,,17,,,,,,,
2172952,,,,,10,,,,,,,,,
2174544,,,,,,,70,,,,,,,
2177844,,,,,,,38,,,,,,,
2178226,,,,,,,13,,,,,,,
2178904,,,,,11,,,52,45,,,,,
2179788,,,,,,,54,,,,,,,
2180130,,,,,37,27,,,16,,,,,
2180252,,,,,,10,71,,10,,,,,
2180826,,,,,,,7,,,,,,,
2181156,,,,,14,,,,89,,,,,
2183530,,,,,,,91,,,,,,,
2183744,,,,,,27,20,,,,,,,
2183950,,,,,,,,,,3,,,,
2184872,,,,,,,76,,,,,,,
2185052,,,,,3,47,1,64,67,,,,,
2186156,,,,,,,77,60,,,,,,
2186260,78,26,,,28,,,,,,,,,
2188560,,,,,,,75,,,,,,,
2190110,,,,,,,9,,9,,,,,
2192158,,,,,13,44,4,24,,,,1,,
2192632,,,,,9,,9,,,,,,,
2194890,,,,,83,,,,,,,,,
2196636,,,,,,,,,39,,,,,
2197564,15,,,,,,,,,,,,,
2197916,2,,,,,,11,11,11,,,,,
2198822,,,,83,,,,,,,,,,
2199560,,,,,11,,15,,,,,,,
2200834,,,,,,,15,,86,,,,,
2202204,,,,,,,,,37,,,,,
2202774,,,,,90,,,,,,,,,
2202834,,,,,,,14,,,,,,,
2203014,,,,,34,,,,,,,,,
2203332,,,,,6,,,4,1,,,,,
2205446,,,,,,,34,,,,,,,
2206678,,,,,,,73,,,,,,,
2206770,,,,,64,,64,,,,,,,
2208126,,,,,,,79,,,,,,,
2208940,,,,,,,30,,,,,,,
2209056,,,,,,,5,,,,,,,
2209538,,,,,,,25,,2,,,,,
2210884,,,,,,41,,,,,,,,
2212536,77,,,,,,11,,77,,,,,
2212944,,,,,29,,,,,,,,,
2217574,84,,,,,,,,,,,,,
2218120,,,,,,,,18,,,,,,
2223280,,,,,,,11,,,,,,,
2223388,,,,,9,38,1,,10,,,,,
2223952,,,,,10,,,,,,,,,
2224220,,,,,,,47,,,,,,,
2225210,,,,,,,10,,,,,,,
2226230,,,,3,,29,3,,68,,,,,68
2226502,,,,,,,,,39,,,,,
2226972,,,,,,,15,,99,,,,,50
2227630,,,,,,,76,,,,,,,
2228668,,,,,,,74,,,,,,,
2229042,,,,,,,66,,1,,,,,
2229842,,,,,,,17,,63,,,,,
2229844,,,,,,18,18,,,,,,,
2231154,,,,,,,42,,,,,,,
2231656,,,,,,41,12,,41,,,,,
2232674,,,,,82,,40,,,,,,,
2234006,,,,,,,24,,,,,,,
2234080,,,,,,,20,,20,,,,,61
2234992,,,,,,,94,,,,,,,
2235418,,,,,,,,,18,,,,,
2238576,,,,,,,15,,,,,,,
2239152,,,,,69,,,,12,,,,,61
2241712,,,,,,,,,99,,,,,
2242166,,,,,,23,23,,,,,,,
2243122,,,,,11,,,,16,,,,,
2244974,,,,,,,,1,6,,,,,
2248186,,,,,,,10,,,,,,,
2248210,,,,,,,8,15,,,,,,
2253848,,,,,5,,,,,,,,,
2254664,35,,,,,,,18,,,,,,
2257554,,,,,,,,,71,,,,,
2257884,,,,,,,11,,,,,,,
2259568,,,,,,,4,,,,,,,
2262216,,,,,52,,90,,,,,,,64
2262618,,,,,50,,,11,3,,,,,
2266668,,,,,70,,70,,,,,,,
2267792,,,,,,,,,15,,,,,
2268154,,,,,97,22,22,,,,,,,
2268854,,,,,,,33,,,,,,,
2269770,30,,,,,,,,,,,,,
2270146,,,,,,,76,,,,,,,
2274076,,,,,,,41,,,,,,,
2275418,,,,,,,,,10,,,,,
2279164,,,,,,,,53,,,,,,
2280024,,,,,,,42,,,,,,,
2280412,,,,,27,54,54,,,,,,,
2280492,,,,,13,,13,,13,,,,,
2281202,,,,,,,15,,,,,,,
2281618,,,,,,,10,,,,,,,
2282126,,,,,,,11,,,,,,,
2283006,,,,,,,,47,11,,,,,
2283834,,,,,,,27,,,,,,,
2285794,,,,,,,6,,,,,,,
2288218,,,,,,,,,68,,,,,
2291002,,,,,,,10,,,,,,,
2291570,,,46,,,,,,35,,,,,
2291990,,,,,,,22,22,,,,,,
2293446,,,,,37,10,10,,,,,,,
2293686,,,,,,,,11,,,,,,
2294516,,,,,69,19,8,19,23,,,,,
2294778,,,,,72,,79,,,,,,,
2296090,,,,,,,44,,44,,,,,
2296836,,,,,78,,4,46,38,,,,,
2298024,,42,,,8,,,,42,,,,,
2298766,,,,,38,,,,,,,,,
2299134,,,,,,,35,,,,,,,
2300108,,,,,,,,,40,,,,,
2300970,,,,,,,,,47,,,,,
2301340,,,,,,,,,93,,,,,
2301720,,,,,79,,,,,,,,,
2302868,,,,,46,,,,,,,,,46
2303120,,,,,,,84,,,,,,,
2304892,,,,,,,27,44,,,,,,44
2305356,,,,,,,88,,,,,,,
2306968,13,,,,,,,,13,,,,,
2307290,,,,,,,16,,,,,,,
2307354,,,,,,,,,91,,,,,
2308972,,,,,38,,,,93,,,,,
2309168,,,,,,,,,52,,,,,
2310470,,,,,,,,,11,,,,,
2312224,,,,,,,24,,,,,,,
2312266,53,,,,,,,,,,,,,
2313004,,,,,,,,26,20,,,,,
2313862,,,,,,,101,,,,,,,
2314802,,,,1,58,15,8,,9,,,,,
2315330,,,,,,,9,,,,,,,
2316400,,,,,53,,,,,,,,,
2316436,,,,,51,,35,,,,,,,
2319118,,,,,,,46,,,,,,,
2320082,,,,,57,,,56,,,,,,
2320186,,,,,,,,,34,,,,,
2322020,,,,,36,,,,,,,,,
2322928,,,,,,,22,,,,,,,
2323678,,,,,49,,24,24,66,,,,,
2324910,,,,,,26,26,,,,,,,
2325256,,,,,,,8,,,,,,,
2326260,,,,,,,,,29,,,,,
2326522,,,,,,,,,29,,,,,
2327520,,,,,,,49,,,,,,,
2328148,,,,,,,,7,,,,,,
2328774,,,,,,,62,,,,,,,
2329192,,,,,41,17,17,,,,,,,80
2329610,,,,,,,,,16,,,,,
2329900,,,,,,,42,,42,,,,,
2330852,,,,,,,100,,,,,,,
2331510,,,,,71,,10,,10,,,,,71
2331578,,,,,84,,,,,,,,,
2331894,,,,,93,,7,,,,,,,
2333306,,,,,,,,26,4,,,,,63
2334034,,,,,,,101,,,,,,,
2334806,,,,16,,17,1,,1,,,,,
2336080,,,,,6,,,6,6,,,,,
2336526,,,,,,,1,,,,,,,
2337062,,,,,,,39,,,,,,,
2337252,,,,,73,,,,2,,,,,
2337314,,,,,,,1,,,,,,,
2337718,,,,,16,,84,,,,,,,
2339102,,,,,,,,40,,,,,,
2340620,,,,,,,81,,,,,,,
2342580,,,,,,,98,,,,,,,
2343062,,,,,64,93,4,,66,,,,,
2343446,,,,,76,,,,,,,,,
2344380,,,,,,,61,,65,,,,,
2345238,,,,,,51,8,,8,,,,,
2345354,,,,,6,,4,,50,,,,,
2347078,,,,,,,13,,,,,,,
2348136,,,,,,,,,59,,,,,
2350850,,,,,,,22,,,,,,,
2351638,92,,,,,,,,,,,,,
2352564,,,,,,73,7,,,,,,,
2354528,,,,,,,15,,,,,,,
2354746,,,,,,,41,,,,,,,
2355442,,,,,,,49,,91,,,,,
2356582,,,,,,29,20,,,,,,,
2359646,,,,,,8,8,,20,,,,,
2363336,71,,30,,,,26,26,,,,,,
2363512,,,,,101,,,,,,,,,101
2363752,,,,,40,,55,,,,,,,
2364096,,,,,,,74,,,,,,,
2364502,,,,,,,,,30,,,,,
2364916,,,,,,,,,49,,,,,
2366260,,,,,,,11,3,41,,,,,
2366326,,,,,10,,3,,53,,,,,
2366610,,,,,,41,,,,,,,,
2366926,,,,,,,36,,,,,,,
2367274,,,,,23,,,,,,,,,
2368292,,,,,,,101,,,,,,,
2368336,,,,,,,92,,,,,,,
2369418,,,,,85,,,,,,,,,
2369458,,,,,,,86,,86,,,,,
2371606,,,,,6,,,,,,,,,
2373358,,,,,,7,7,,,,,,,
2373468,,,,,51,,,,8,,,,,
2373482,,,,,,,,,79,,,,,
2374394,,,,,,67,67,,,,,,,
2376484,,,,,7,,,,46,,,,,
2376876,69,,,,,,,,,,,,,68
2377874,,,,,,101,2,,,,,,,
2378098,,,,,,,,10,34,,,,,
2378154,,,,,25,,14,36,,,,,,
2378176,,,,,,,64,,41,,,,,
2378256,,,,,,,23,,,,,,,
2379744,,,,,28,,,,25,,,,,
2380702,,,,,40,,,,,,,,,
2383228,,,,,31,25,5,,14,,,,,
2383284,,,,,,7,7,,,,,,,
2384694,,,,,,,,,37,,,,,
2384922,,,,,,,15,,,,,,,
2385858,,,,,,,,,77,,,,,
2386620,,,,,,,,67,,,,,,69
2387248,,,,,,,8,,,,,,,
2387526,,,,,,,57,,,,,,,
2388164,,,,,66,28,9,,18,,,,,
2388778,,,,,9,,11,,13,,,,,
2389066,,,,,,,,35,2,,,,,
2389510,,,,,,,,,93,,,,,
2389586,,,,16,87,76,22,,87,,,,,
2389836,,,,,,,,,89,,,,,
2390312,,,,,,,,,,,14,,,
2392602,,,,,,,24,,,,,,,
2394030,,,,,,,24,,,,,,,
2396002,,,,,,,43,,95,,,,,
2396050,,,,,,,,,64,,,,,
2396210,,,,,,,,15,62,,,,,52
2397732,,,,,,,60,,70,,,,,
2397780,,,,,,,,,43,,,,,
2400806,,90,,,,,,,1,,,,,
2402132,,,,,,,10,,,,,,,
2402202,,,,,,,,,24,,,,,
2402552,,,,,,57,69,,30,,,,,
2402758,26,1,,,1,,,,1,,,,,91
2402986,,,,,,,,,66,,,,,
2406522,,,,,45,,,,,,,,,
2408428,,,,,41,,,48,19,,,,,50
2408452,,,,,,54,8,,,,,,,
2408896,76,,,,,,,,,,,,,
2412776,,,,,73,,,,,,,,,
2413496,,,,,,,46,,73,,,,,
2413940,23,,,,,,,,,,,,,
2415636,,,,,,,,,91,,,,,
2416012,,,,,75,,,,76,,,,,
2416374,,,,,5,,,,,,,,,
2416820,,,,,13,,,,10,,,,,
2417356,,,,,,,59,,12,,,,,
2418026,,,,,,,,7,,,,,,
2418040,,,,,41,,,12,10,,,,,
2419334,,,,,,,22,,,6,,,,
2421914,,,,,94,,94,,,,,,,
2424612,,,,,70,,,,,,,,,
2424906,,,,,13,35,35,,63,,,,,
2425216,,,,,,,,74,,,,,,
2425910,,,,,,,,,57,,,,,
2427512,,,,,,,56,,,,,,,
2429868,,,,,98,,,,,,,,,
2430364,,,,,,,,21,68,,,,,
2431252,,,,,,,58,,58,,,,,
2431684,,,,,36,,36,,,,,,,
2432760,,,,,71,,29,,29,,,,,
2435142,,,,,,,84,,,,,,,
2435858,,,,,,,53,,,,,,,
2437294,,,,,,,,,6,,,,,
2439548,,,,,21,,35,,73,,,,,
2440152,,,,,38,,,,25,,,,,
2441954,,,,,75,98,46,,46,,,,,
2441978,,,,,,,,,7,,,,,
2447082,,,,,,,,,57,,,,,
2448334,,,,,,,,29,,,,,,
2448464,,,,,,,13,,,,,,,97
2448830,,,,,,,,,,,,,,64
2454186,,,,,,,,17,,,,,,
2454346,,,,,,,87,,14,,,,,37
2456908,,,,,,,62,,,,,,,24
2457082,,,,,,,,,3,,,,,
2459228,,,,,3,9,2,54,7,,,,,16
2460218,,,,,,,58,,88,,,,,
2460830,,,,,,,,,36,,,,,
2461024,,,,,,,61,,,,,,,
2462568,,,,,,,15,,,,,,,
2464140,,,,,,,,2,,,,,,
2464892,,,,,,,,,68,,,,,
2465598,,,,,,,7,,,,,,,
2465820,,,,,,,,22,89,,,,,
2466134,,3,,,,,,83,23,,,,,
2467332,,,,,,23,23,,,,,,,
2470748,,,,,,32,24,42,30,,,,,
2471078,,,,,22,,2,,,,,,,22
2471414,,,,,26,,,,98,,,,,
2472898,,,,,75,,,,,,,,,
