user_id,date,count_purchases,count_items_viewed
6108280,8/22/2016,1,24
6108280,9/16/2016,1,5
6108280,9/26/2016,1,9
6118742,8/3/2016,1,27
6139558,7/12/2016,1,6
6147222,10/2/2016,1,109
6165572,8/6/2016,1,15
6182164,7/16/2016,1,3
6216946,7/14/2016,1,6
6216946,8/24/2016,1,19
6221662,8/26/2016,1,32
6238040,9/29/2016,1,1
6238040,10/2/2016,1,10
6257486,8/26/2016,1,13
6283218,8/27/2016,1,112
6299216,7/28/2016,1,5
6336992,8/20/2016,1,88
6346786,8/24/2016,1,8
6346786,9/13/2016,1,11
6346786,9/14/2016,1,8
6353012,7/20/2016,1,20
6371606,10/5/2016,1,22
6376932,7/17/2016,1,2
6380080,8/29/2016,2,19
6417612,7/17/2016,1,18
6428270,9/24/2016,1,5
6433202,8/12/2016,1,5
6433202,8/27/2016,1,5
6433202,9/29/2016,1,3
6443256,9/6/2016,1,7
6453162,9/9/2016,1,3
6453162,9/18/2016,1,8
6453162,10/7/2016,1,4
6485334,8/7/2016,1,5
6503248,7/14/2016,1,33
6545450,7/21/2016,1,30
6551120,8/31/2016,1,2
6577278,8/24/2016,1,39
6593346,7/28/2016,1,36
6606702,9/18/2016,1,2
6606702,9/29/2016,1,15
6609184,7/16/2016,1,2
6609184,9/10/2016,1,2
6614256,7/9/2016,1,43
6616942,7/28/2016,1,10
6616942,9/13/2016,1,28
6623336,7/29/2016,2,9
6643392,7/29/2016,1,20
6645138,9/19/2016,1,14
6647498,8/14/2016,1,8
6656812,8/25/2016,1,6
6657320,7/8/2016,1,6
6657320,7/11/2016,1,11
6687306,7/9/2016,1,9
6687306,7/13/2016,1,1
6687306,7/14/2016,1,2
6687306,7/25/2016,1,2
6687306,7/27/2016,2,7
6687306,7/30/2016,2,62
6687306,8/2/2016,1,53
6687306,8/4/2016,1,12
6687306,8/19/2016,2,19
6687306,8/24/2016,1,8
6687306,9/9/2016,2,24
6687306,9/18/2016,2,57
6687306,9/26/2016,1,2
6687306,9/27/2016,1,21
6687306,10/9/2016,1,9
6690276,8/5/2016,1,5
6692872,9/10/2016,1,4
6695380,7/23/2016,1,5
6696424,9/20/2016,1,86
6702370,7/20/2016,1,65
6702370,9/8/2016,1,51
6702370,9/29/2016,1,75
6732760,10/7/2016,1,16
6769638,9/29/2016,1,19
6804038,7/25/2016,1,4
6804038,8/4/2016,1,11
6804878,8/18/2016,2,24
6807022,9/30/2016,1,8
6807022,10/3/2016,3,11
6811020,9/24/2016,1,1
6844478,8/20/2016,1,37
6860168,10/4/2016,1,33
6877602,8/3/2016,1,20
6877602,8/22/2016,1,70
6878834,8/27/2016,1,28
6886620,8/20/2016,1,6
6886620,9/8/2016,1,3
6921248,7/13/2016,1,8
6921248,7/29/2016,1,9
6921248,9/26/2016,1,15
6950730,9/16/2016,1,17
6961848,7/6/2016,1,7
6961848,8/14/2016,1,16
6996006,8/24/2016,2,15
7020806,7/27/2016,1,8
7031632,9/27/2016,1,15
7086694,7/8/2016,1,11
7086694,7/18/2016,1,12
7086694,7/22/2016,1,7
7086694,8/4/2016,2,21
7086694,8/18/2016,1,23
7086694,8/23/2016,1,4
7086694,9/14/2016,1,16
7107596,9/27/2016,1,17
7111510,7/20/2016,1,3
7111510,7/21/2016,1,10
7111510,9/16/2016,5,104
7111510,9/26/2016,2,13
7111510,9/29/2016,7,43
7111510,10/2/2016,3,36
7111510,10/8/2016,4,47
7149712,9/14/2016,1,25
7243186,7/30/2016,1,10
7243186,9/1/2016,1,34
7274496,7/28/2016,2,42
7274496,8/4/2016,1,27
7308644,9/1/2016,1,18
7314158,7/2/2016,1,7
7320568,8/21/2016,1,3
7320568,8/29/2016,1,9
7361618,8/22/2016,1,6
7385964,9/12/2016,1,5
7388188,7/8/2016,1,7
7399090,7/28/2016,1,10
7423428,8/25/2016,1,4
7456454,8/14/2016,1,9
7481332,8/15/2016,1,6
7481332,8/28/2016,1,2
7557234,9/22/2016,1,7
7570808,9/22/2016,1,28
7640760,9/22/2016,1,5
7640760,10/7/2016,1,15
7650954,8/13/2016,1,1
7658228,7/6/2016,1,20
7670810,9/6/2016,1,40
7676308,8/28/2016,1,4
7685728,8/31/2016,1,11
7704120,7/6/2016,1,15
7729594,9/13/2016,1,43
7761294,10/4/2016,1,4
7761294,10/7/2016,2,7
7777594,9/24/2016,1,11
7811788,7/15/2016,1,1
7824454,10/8/2016,1,6
7855236,7/23/2016,1,17
7855236,9/9/2016,1,6
7856954,7/26/2016,1,14
7862020,10/1/2016,1,22
7873768,8/4/2016,1,21
7884410,8/30/2016,1,105
7933946,7/6/2016,1,11
7942030,7/30/2016,1,6
7942030,8/9/2016,1,3
7942030,8/20/2016,1,3
7942030,8/31/2016,1,20
7942030,10/7/2016,1,60
7946908,8/20/2016,1,2
7972712,10/3/2016,1,17
7978610,9/7/2016,1,26
7978610,9/28/2016,1,5
7980878,7/31/2016,1,16
7980878,9/20/2016,1,12
8047142,9/9/2016,2,11
8050990,10/8/2016,1,8
8057072,8/3/2016,1,35
8057072,9/5/2016,1,3
8063862,9/14/2016,1,5
8071062,10/9/2016,1,6
8106802,7/14/2016,3,37
8106802,7/31/2016,1,9
8150066,9/17/2016,1,21
8157844,8/4/2016,1,6
8169204,8/17/2016,1,88
8172458,8/20/2016,1,25
8172458,9/16/2016,1,21
8179464,10/2/2016,1,14
8199826,7/20/2016,1,15
8199826,7/28/2016,1,5
8199826,8/31/2016,1,16
8207810,10/6/2016,1,25
8261328,8/15/2016,1,6
8264872,8/6/2016,1,8
8266656,9/20/2016,1,3
8269126,10/5/2016,1,3
8275688,7/2/2016,1,5
8276184,7/7/2016,1,17
8292314,8/30/2016,1,21
8378188,10/4/2016,1,64
8383814,7/27/2016,1,8
8389744,7/24/2016,1,11
8407906,8/18/2016,1,7
8410532,9/27/2016,1,6
8416664,10/6/2016,1,8
8416664,10/8/2016,1,16
8430174,9/17/2016,1,1
8441686,8/30/2016,2,1
8464534,8/3/2016,1,14
8464534,8/17/2016,2,8
8469406,9/30/2016,1,83
8469406,10/2/2016,1,29
8488824,8/13/2016,1,31
8488824,8/25/2016,1,27
8488824,9/28/2016,1,50
8488824,9/29/2016,1,65
8499982,7/6/2016,1,20
8504014,7/13/2016,1,10
8506266,7/29/2016,1,4
8568584,8/16/2016,1,47
8570804,9/26/2016,1,62
8570804,9/28/2016,3,315
8570804,9/30/2016,1,200
8600244,7/31/2016,1,20
8608700,7/29/2016,1,3
8634854,7/1/2016,1,6
8634854,7/15/2016,1,2
8660956,8/7/2016,2,17
8660956,9/28/2016,1,19
8696360,9/24/2016,2,11
8703176,7/28/2016,1,11
8718574,7/1/2016,1,13
8721192,7/16/2016,2,54
8721192,7/21/2016,2,32
8726676,8/13/2016,1,3
8753736,10/4/2016,1,4
8773976,7/31/2016,1,13
8782660,8/14/2016,1,22
8787468,9/22/2016,1,15
8808742,7/19/2016,2,17
8815598,8/24/2016,1,4
8816104,9/30/2016,1,1
8817958,7/29/2016,1,2
8819642,7/2/2016,1,9
8827352,8/27/2016,1,27
8827352,9/7/2016,1,70
8829612,7/7/2016,1,3
8829612,7/9/2016,1,2
8829612,7/15/2016,1,3
8854844,7/21/2016,1,4
8854844,7/22/2016,1,2
8854844,7/23/2016,1,2
8854844,8/16/2016,1,5
8854844,9/7/2016,1,7
8859608,8/31/2016,1,3
8869858,8/7/2016,1,1
8869858,8/8/2016,1,13
8869858,8/25/2016,1,7
8869858,9/30/2016,1,3
8870062,7/2/2016,1,39
8870062,7/3/2016,1,89
8870062,7/4/2016,1,99
8870062,7/5/2016,2,36
8870062,7/7/2016,1,53
8870062,7/13/2016,2,61
8870062,7/20/2016,1,36
8870062,7/24/2016,2,59
8870062,8/8/2016,2,72
8870062,8/11/2016,1,56
8870062,8/12/2016,2,48
8870062,8/30/2016,1,10
8870592,7/8/2016,1,22
8901036,8/19/2016,1,5
8948142,9/11/2016,2,4
8954528,9/1/2016,1,10
8970200,7/14/2016,1,7
8970200,7/26/2016,1,5
8970200,8/19/2016,1,24
8970200,8/30/2016,1,15
8970200,9/17/2016,1,7
8980428,9/17/2016,1,7
8987476,7/17/2016,1,57
8987476,8/3/2016,1,42
8996298,8/15/2016,1,6
8996298,8/27/2016,1,37
9000974,9/17/2016,1,15
9023290,8/30/2016,1,11
9023290,9/3/2016,1,4
9031558,9/1/2016,1,117
9031558,10/7/2016,1,21
9033326,8/19/2016,1,4
9065846,8/24/2016,1,3
9065846,9/10/2016,1,6
9065846,9/18/2016,1,11
9065846,10/2/2016,2,1
9067966,10/8/2016,1,9
9095948,8/7/2016,2,46
9112708,8/16/2016,1,4
9112708,10/1/2016,1,5
9112708,10/7/2016,1,2
9116740,9/30/2016,1,32
9120292,9/5/2016,1,40
9125818,9/13/2016,1,4
9131588,8/23/2016,1,9
9131588,8/31/2016,1,6
9140272,9/28/2016,1,21
9140272,9/29/2016,3,41
9151824,9/19/2016,1,8
9164636,8/30/2016,1,17
9176072,9/26/2016,1,21
9180730,10/7/2016,1,7
9203684,8/27/2016,1,7
9220660,9/27/2016,1,2
9237118,9/18/2016,1,15
9254422,10/2/2016,1,30
9264376,9/11/2016,1,4
9280394,9/17/2016,1,8
9362324,10/8/2016,1,41
